gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,PERF
0,0,0,0,0,0,0,0,0,0,210.44
0,0,0,0,0,1,0,0,1,0,200.66
0,0,1,0,1,0,0,1,1,0,213.6033333
0,1,1,1,1,0,1,1,1,1,248.5833333
1,1,1,1,1,0,0,0,0,1,251.8033333
1,1,1,1,1,0,0,0,1,1,261.5733333
1,1,1,1,1,0,1,0,0,1,267.5933333
1,1,1,1,1,0,1,0,1,1,260.6933333
1,1,1,1,1,0,0,1,0,1,265.4233333
1,1,1,1,1,0,1,1,0,1,262.94
1,1,1,1,1,0,0,1,1,1,263.82
1,1,1,1,1,0,1,1,1,1,267.51
0,1,1,1,1,1,0,0,0,1,268.55
0,0,1,0,1,0,1,0,0,0,214.8866667
0,1,1,1,1,1,0,0,1,1,249.3433333
0,1,1,1,1,1,0,1,0,1,251.7866667
0,1,1,1,1,1,0,1,1,1,251.5233333
1,1,1,1,1,1,0,0,0,1,252.6833333
1,1,1,1,1,1,0,1,0,1,263.5866667
1,1,1,1,1,1,0,0,1,1,264.7433333
1,1,1,1,1,1,0,1,1,1,269.47
0,1,1,1,1,1,1,0,0,1,269.47
0,1,1,1,1,1,1,0,1,1,249.36
1,1,1,1,1,1,1,0,0,1,250.43
0,0,1,0,1,0,1,1,0,0,210.9966667
1,1,1,1,1,1,1,0,1,1,262.1133333
0,1,1,1,1,1,1,1,0,1,267.1733333
1,1,1,1,1,1,1,1,0,1,252.4466667
0,1,1,1,1,1,1,1,1,1,265.8166667
1,1,1,1,1,1,1,1,1,1,253.6733333
0,0,1,0,1,0,1,0,1,0,215.01
0,0,1,0,1,0,1,1,1,0,212.0533333
0,0,1,1,1,0,0,0,0,0,216.3733333
0,0,1,1,1,0,0,0,1,0,210.5066667
0,0,1,1,1,0,1,0,0,0,212.7133333
0,0,1,1,1,0,1,0,1,0,211.48
0,0,1,1,1,0,0,1,0,0,213.0966667
0,0,0,0,0,1,1,0,0,0,202.3866667
0,0,1,1,1,0,1,1,0,0,214.4066667
0,0,1,1,1,0,0,1,1,0,215.7333333
0,0,1,1,1,0,1,1,1,0,215.9466667
0,0,1,0,1,1,0,0,0,0,217.2366667
0,0,1,0,1,1,0,0,1,0,212.4433333
0,0,1,0,1,1,0,1,0,0,214.38
0,0,1,0,1,1,0,1,1,0,215.9433333
0,0,1,1,1,1,0,0,0,0,217.4666667
0,0,1,1,1,1,0,1,0,0,213.4066667
0,0,1,1,1,1,0,0,1,0,216.9233333
0,0,0,0,0,1,1,0,1,0,201.8966667
0,0,1,1,1,1,0,1,1,0,215.3666667
0,0,1,0,1,1,1,0,0,0,218.2333333
0,0,1,0,1,1,1,0,1,0,213
0,0,1,1,1,1,1,0,0,0,214.48
0,0,1,1,1,1,1,0,1,0,214.05
0,0,1,0,1,1,1,1,0,0,215.47
0,0,1,1,1,1,1,1,0,0,217.2933333
0,0,1,0,1,1,1,1,1,0,218.3233333
0,0,1,1,1,1,1,1,1,0,218.6233333
0,1,0,0,0,0,0,0,0,0,219.6366667
0,0,0,0,0,1,0,1,0,0,203.6366667
0,1,0,0,0,0,0,0,1,0,216.4033333
0,1,0,0,0,0,0,1,0,0,218.8166667
0,1,0,0,0,0,0,1,1,0,219.2833333
0,1,0,0,0,0,1,0,0,0,221.3766667
0,1,0,0,0,0,1,1,0,0,217.2866667
0,1,0,0,0,0,1,0,1,0,220.3966667
0,1,0,0,0,0,1,1,1,0,219.3866667
0,1,0,0,0,1,0,0,0,0,222.4333333
0,1,0,0,0,1,0,0,1,0,218.0966667
0,1,0,0,0,1,1,0,0,0,220.4233333
0,0,0,0,0,1,1,1,0,0,204.1766667
0,1,0,0,0,1,1,0,1,0,218.89
0,1,0,0,0,1,0,1,0,0,221.1666667
0,1,0,0,0,1,1,1,0,0,221.01
0,1,0,0,0,1,0,1,1,0,222.0866667
0,1,0,0,0,1,1,1,1,0,223.2966667
0,1,0,0,1,0,0,0,0,0,224.0733333
0,1,0,0,1,0,0,0,1,0,217.6966667
0,1,0,0,1,0,0,1,0,0,219.9666667
0,1,0,0,1,0,0,1,1,0,220.3866667
0,1,0,0,1,1,0,0,0,0,222.52
0,0,0,0,0,1,0,1,1,0,205.13
0,1,0,0,1,1,0,1,0,0,219.3333333
0,1,0,0,1,1,0,0,1,0,222.1866667
0,1,0,0,1,1,0,1,1,0,221.7266667
0,1,0,0,1,0,1,0,0,0,224.1766667
0,1,0,0,1,0,1,0,1,0,218.5633333
0,1,0,0,1,1,1,0,0,0,220.5733333
0,1,0,0,1,1,1,0,1,0,220.21
0,1,0,0,1,0,1,1,0,0,222.2666667
0,1,0,0,1,1,1,1,0,0,221.26
0,1,0,0,1,0,1,1,1,0,223.07
0,0,0,0,0,1,1,1,1,0,205.99
0,1,0,0,1,1,1,1,1,0,223.2866667
0,1,1,0,0,0,0,0,0,0,224.95
0,1,1,0,0,0,0,0,1,0,224.49
0,1,1,0,0,0,0,1,0,0,227.0133333
0,1,1,0,0,0,0,1,1,0,227.4
0,1,1,0,0,0,1,0,0,0,229.2766667
0,1,1,0,0,0,1,1,0,0,224.99
0,1,1,0,0,0,1,0,1,0,228.6466667
0,1,1,0,0,0,1,1,1,0,227.1533333
0,1,1,0,1,0,0,0,0,0,230.5366667
0,0,0,0,1,0,0,0,0,0,206.9
0,1,1,0,1,0,0,0,1,0,226.13
0,1,1,0,1,0,1,0,0,0,228.6533333
0,1,1,0,1,0,1,0,1,0,226.57
0,1,1,0,1,0,0,1,0,0,228.4666667
0,1,1,0,1,0,1,1,0,0,229.07
0,1,1,0,1,0,0,1,1,0,230.4666667
0,1,1,0,1,0,1,1,1,0,230.7933333
0,1,1,0,0,1,0,0,0,0,232.1166667
0,1,1,0,0,1,0,0,1,0,226.8833333
0,1,1,0,0,1,0,1,0,0,229.1866667
0,0,0,0,1,0,0,0,1,0,200.38
0,1,1,0,0,1,0,1,1,0,229.6433333
0,1,1,0,1,1,0,0,0,0,231.39
0,1,1,0,1,1,0,1,0,0,228.2666667
0,1,1,0,1,1,0,0,1,0,231.2533333
0,1,1,0,1,1,0,1,1,0,230.7733333
0,1,1,0,0,1,1,0,0,0,232.76
0,1,1,0,0,1,1,0,1,0,227.19
0,1,1,0,1,1,1,0,0,0,229.1233333
0,1,1,0,1,1,1,0,1,0,228.8566667
0,1,1,0,0,1,1,1,0,0,230.6866667
0,0,0,0,1,0,0,1,0,0,201.8333333
0,1,1,0,1,1,1,1,0,0,230.9433333
0,1,1,0,0,1,1,1,1,0,232.29
0,1,1,0,1,1,1,1,1,0,232.5233333
0,1,0,1,0,0,0,0,0,0,234.08
0,1,0,1,0,0,0,0,1,0,217.0933333
0,1,0,1,0,0,0,1,0,0,219.3966667
0,1,0,1,0,0,0,1,1,0,219.7466667
0,1,0,1,0,0,1,0,0,0,221.7833333
0,1,0,1,0,0,1,1,0,0,217.9
0,1,0,1,0,0,1,0,1,0,220.8633333
0,0,0,0,0,0,0,0,1,0,210.34
0,0,0,0,1,0,0,1,1,0,203.53
0,1,0,1,0,0,1,1,1,0,219.9133333
0,1,0,1,0,1,0,0,0,0,222.8233333
0,1,0,1,0,1,0,0,1,0,218.7266667
0,1,0,1,0,1,1,0,0,0,221.0566667
0,1,0,1,0,1,1,0,1,0,219.6266667
0,1,0,1,0,1,0,1,0,0,221.6233333
0,1,0,1,0,1,1,1,0,0,221.4433333
0,1,0,1,0,1,0,1,1,0,222.3666667
0,1,0,1,0,1,1,1,1,0,223.42
0,1,1,1,0,0,0,0,0,0,224.3266667
0,0,0,0,1,1,0,0,0,0,205.2066667
0,1,1,1,0,0,0,0,1,0,225.34
0,1,1,1,0,0,0,1,0,0,227.75
0,1,1,1,0,0,0,1,1,0,228.2566667
0,1,1,1,0,1,0,0,0,0,230.08
0,1,1,1,0,1,0,1,0,0,227.7333333
0,1,1,1,0,1,0,0,1,0,230.5733333
0,1,1,1,0,1,0,1,1,0,230.14
0,1,1,1,0,0,1,0,0,0,232.1433333
0,1,1,1,0,0,1,0,1,0,225.7966667
0,1,1,1,0,1,1,0,0,0,227.53
0,0,0,0,1,1,0,1,0,0,202.0633333
0,1,1,1,0,1,1,0,1,0,227.99
0,1,1,1,0,0,1,1,0,0,229.9466667
0,1,1,1,0,1,1,1,0,0,229.56
0,1,1,1,0,0,1,1,1,0,231.6866667
0,1,1,1,0,1,1,1,1,0,231.2066667
0,1,0,1,1,0,0,0,0,0,233.2766667
0,1,0,1,1,0,0,0,1,0,218.1233333
0,1,0,1,1,0,0,1,0,0,220.37
0,1,0,1,1,0,0,1,1,0,220.8033333
0,1,0,1,1,0,1,0,0,0,222.8966667
0,0,0,0,1,1,0,0,1,0,205.3633333
0,1,0,1,1,0,1,1,0,0,219.0766667
0,1,0,1,1,0,1,0,1,0,221.86
0,1,0,1,1,0,1,1,1,0,220.9766667
0,1,1,1,1,0,0,0,0,0,223.7733333
0,1,1,1,1,0,0,0,1,0,226.7466667
0,1,1,1,1,0,1,0,0,0,229.2966667
0,1,1,1,1,0,1,0,1,0,227.2866667
0,1,1,1,1,0,0,1,0,0,228.9733333
0,1,1,1,1,0,1,1,0,0,229.68
0,1,1,1,1,0,0,1,1,0,230.8233333
0,0,0,0,1,1,0,1,1,0,203.9766667
0,1,1,1,1,0,1,1,1,0,231.1966667
0,1,0,1,1,1,0,0,0,0,232.66
0,1,0,1,1,1,0,0,1,0,219.87
0,1,0,1,1,1,0,1,0,0,222.1633333
0,1,0,1,1,1,0,1,1,0,222.5566667
0,1,1,1,1,1,0,0,0,0,224.5066667
0,1,1,1,1,1,0,1,0,0,229.2066667
0,1,1,1,1,1,0,0,1,0,231.77
0,1,1,1,1,1,0,1,1,0,231.3266667
0,1,0,1,1,1,1,0,0,0,233.2766667
0,0,0,0,1,0,1,0,0,0,207.12
0,1,0,1,1,1,1,0,1,0,220.82
0,1,1,1,1,1,1,0,0,0,222.6266667
0,1,1,1,1,1,1,0,1,0,229.5533333
0,1,0,1,1,1,1,1,0,0,231.16
0,1,1,1,1,1,1,1,0,0,223.52
0,1,0,1,1,1,1,1,1,0,232.96
0,1,1,1,1,1,1,1,1,0,225.1566667
1,0,0,0,0,0,0,0,0,0,234.68
1,0,0,0,0,0,0,0,1,0,219.1533333
1,0,0,0,0,0,0,1,0,0,224.43
0,0,0,0,1,0,1,0,1,0,201.47
1,0,0,0,0,0,0,1,1,0,223.6833333
1,0,0,0,0,0,1,0,0,0,227.8533333
1,0,0,0,0,0,1,1,0,0,221.3333333
1,0,0,0,0,0,1,0,1,0,224.7333333
1,0,0,0,0,0,1,1,1,0,225.62
1,0,0,0,0,1,0,0,0,0,229.1666667
1,0,0,0,0,1,0,0,1,0,221.25
1,0,0,0,0,1,1,0,0,0,226.5033333
1,0,0,0,0,1,1,0,1,0,223.4933333
1,0,0,0,0,1,0,1,0,0,227.78
0,0,0,0,1,1,1,0,0,0,203.19
1,0,0,0,0,1,1,1,0,0,225.5033333
1,0,0,0,0,1,0,1,1,0,226.5666667
1,0,0,0,0,1,1,1,1,0,229.79
1,0,0,0,1,0,0,0,0,0,230.74
1,0,0,0,1,0,0,0,1,0,222.2366667
1,0,0,0,1,0,0,1,0,0,227.3933333
1,0,0,0,1,0,0,1,1,0,225.4133333
1,0,0,0,1,1,0,0,0,0,229.6766667
1,0,0,0,1,1,0,1,0,0,224.3366667
1,0,0,0,1,1,0,0,1,0,227.1833333
0,0,0,0,1,1,1,0,1,0,203.19
1,0,0,0,1,1,0,1,1,0,229.2433333
1,0,0,0,1,0,1,0,0,0,231.3366667
1,0,0,0,1,0,1,0,1,0,223.2133333
1,0,0,0,1,1,1,0,0,0,227.4433333
1,0,0,0,1,1,1,0,1,0,225.26
1,0,0,0,1,0,1,1,0,0,229.3133333
1,0,0,0,1,1,1,1,0,0,226.58
1,0,0,0,1,0,1,1,1,0,228.3366667
1,0,0,0,1,1,1,1,1,0,230.6533333
1,0,0,1,0,0,0,0,0,0,232.2
0,0,0,0,1,0,1,1,0,0,204.9633333
1,0,0,1,0,0,0,0,1,0,221.6066667
1,0,0,1,0,0,0,1,0,0,226.7
1,0,0,1,0,0,0,1,1,0,224.5266667
1,0,0,1,0,0,1,0,0,0,228.9366667
1,0,0,1,0,0,1,1,0,0,222.5566667
1,0,0,1,0,0,1,0,1,0,225.6866667
1,0,0,1,0,0,1,1,1,0,226.65
1,0,0,1,1,0,0,0,0,0,229.8566667
1,0,0,1,1,0,0,0,1,0,223.0133333
1,0,0,1,1,0,1,0,0,0,227.94
0,0,0,0,0,0,0,1,0,0,201.1533333
0,0,0,0,1,1,1,1,0,0,204.73
1,0,0,1,1,0,1,0,1,0,223.9766667
1,0,0,1,1,0,0,1,0,0,227.9066667
1,0,0,1,1,0,1,1,0,0,226.0866667
1,0,0,1,1,0,0,1,1,0,227.0266667
1,0,0,1,1,0,1,1,1,0,230.3133333
1,0,0,1,0,1,0,0,0,0,231.19
1,0,0,1,0,1,0,0,1,0,223.3366667
1,0,0,1,0,1,0,1,0,0,228.2833333
1,0,0,1,0,1,0,1,1,0,226.1333333
1,0,0,1,1,1,0,0,0,0,230.59
0,0,0,0,1,0,1,1,1,0,206.4266667
1,0,0,1,1,1,0,1,0,0,224.8766667
1,0,0,1,1,1,0,0,1,0,227.64
1,0,0,1,1,1,0,1,1,0,229.8166667
1,0,0,1,0,1,1,0,0,0,231.7966667
1,0,0,1,0,1,1,0,1,0,224.2966667
1,0,0,1,1,1,1,0,0,0,228.5633333
1,0,0,1,1,1,1,0,1,0,225.7733333
1,0,0,1,0,1,1,1,0,0,230.1333333
1,0,0,1,1,1,1,1,0,0,227.12
1,0,0,1,0,1,1,1,1,0,228.7166667
0,0,0,0,1,1,1,1,1,0,206.35
1,0,0,1,1,1,1,1,1,0,231.3133333
1,1,0,0,0,0,0,0,0,0,232.7
1,1,0,0,0,0,0,0,1,0,234.87
1,1,0,0,0,0,0,1,0,0,240.1633333
1,1,0,0,0,0,0,1,1,0,238.7833333
1,1,0,0,0,0,1,0,0,0,242.9166667
1,1,0,0,0,0,1,1,0,0,236.8866667
1,1,0,0,0,0,1,0,1,0,239.6566667
1,1,0,0,0,0,1,1,1,0,241.7
1,1,0,0,0,1,0,0,0,0,244.5
0,0,0,1,0,0,0,0,0,0,208.0466667
1,1,0,0,0,1,0,0,1,0,237.75
1,1,0,0,0,1,1,0,0,0,242.7866667
1,1,0,0,0,1,1,0,1,0,239.2733333
1,1,0,0,0,1,0,1,0,0,243.3666667
1,1,0,0,0,1,1,1,0,0,241.0166667
1,1,0,0,0,1,0,1,1,0,241.97
1,1,0,0,0,1,1,1,1,0,245.1566667
1,1,0,1,0,0,0,0,0,0,245.9366667
1,1,0,1,0,0,0,0,1,0,238.0966667
1,1,0,1,0,0,0,1,0,0,242.8066667
0,0,0,1,0,0,0,0,1,0,199.6833333
1,1,0,1,0,0,0,1,1,0,240.22
1,1,0,1,0,1,0,0,0,0,244.49
1,1,0,1,0,1,0,1,0,0,239.9266667
1,1,0,1,0,1,0,0,1,0,242.0866667
1,1,0,1,0,1,0,1,1,0,244.5933333
1,1,0,1,0,0,1,0,0,0,246.0266667
1,1,0,1,0,0,1,0,1,0,238.7033333
1,1,0,1,0,1,1,0,0,0,242.56
1,1,0,1,0,1,1,0,1,0,240.4066667
1,1,0,1,0,0,1,1,0,0,244.26
0,0,0,1,0,0,0,1,0,0,201.5466667
1,1,0,1,0,1,1,1,0,0,241.3266667
1,1,0,1,0,0,1,1,1,0,242.8566667
1,1,0,1,0,1,1,1,1,0,245.22
1,1,0,0,1,0,0,0,0,0,246.7566667
1,1,0,0,1,0,0,0,1,0,238.7333333
1,1,0,0,1,0,0,1,0,0,243.5233333
1,1,0,0,1,0,0,1,1,0,240.9833333
1,1,0,0,1,0,1,0,0,0,244.73
1,1,0,0,1,0,1,1,0,0,239.3666667
1,1,0,0,1,0,1,0,1,0,241.7033333
0,0,0,1,0,0,0,1,1,0,202.9333333
1,1,0,0,1,0,1,1,1,0,243.1233333
1,1,0,1,1,0,0,0,0,0,245.7566667
1,1,0,1,1,0,0,0,1,0,239.5566667
1,1,0,1,1,0,1,0,0,0,244.2833333
1,1,0,1,1,0,1,0,1,0,240.21
1,1,0,1,1,0,0,1,0,0,243.9633333
1,1,0,1,1,0,1,1,0,0,241.8266667
1,1,0,1,1,0,0,1,1,0,242.7366667
1,1,0,1,1,0,1,1,1,0,245.7
1,1,0,0,1,1,0,0,0,0,246.48
0,0,0,1,0,0,1,0,0,0,204.6866667
1,1,0,0,1,1,0,0,1,0,240.34
1,1,0,0,1,1,0,1,0,0,245.1966667
1,1,0,0,1,1,0,1,1,0,242.4266667
1,1,0,1,1,1,0,0,0,0,246.4966667
1,1,0,1,1,1,0,1,0,0,241.2333333
1,1,0,1,1,1,0,0,1,0,243.26
1,1,0,1,1,1,0,1,1,0,246.16
1,1,0,0,1,1,1,0,0,0,247.2766667
1,1,0,0,1,1,1,0,1,0,240.9833333
1,1,0,1,1,1,1,0,0,0,244.6066667
0,0,0,1,0,0,1,1,0,0,200.82
1,1,0,1,1,1,1,0,1,0,241.78
1,1,0,0,1,1,1,1,0,0,245.5966667
1,1,0,1,1,1,1,1,0,0,243.4433333
1,1,0,0,1,1,1,1,1,0,244.2333333
1,1,0,1,1,1,1,1,1,0,247.1666667
1,0,1,0,0,0,0,0,0,0,248.0166667
1,0,1,0,0,0,0,0,1,0,230.1666667
1,0,1,0,0,0,0,1,0,0,236.2433333
1,0,1,0,0,0,0,1,1,0,233.6666667
1,0,1,0,0,0,1,0,0,0,238.62
0,0,0,1,0,0,1,0,1,0,204.05
1,0,1,0,0,0,1,1,0,0,231.0366667
1,0,1,0,0,0,1,0,1,0,235.1733333
1,0,1,0,0,0,1,1,1,0,235.92
1,0,1,0,0,1,0,0,0,0,239.9766667
1,0,1,0,0,1,0,0,1,0,232.86
1,0,1,0,0,1,1,0,0,0,238.78
1,0,1,0,0,1,1,0,1,0,233.4333333
1,0,1,0,0,1,0,1,0,0,238.2533333
1,0,1,0,0,1,1,1,0,0,235.97
1,0,1,0,0,1,0,1,1,0,237.4433333
0,0,0,0,0,0,0,1,1,0,202.2333333
0,0,0,1,0,0,1,1,1,0,202.69
1,0,1,0,0,1,1,1,1,0,240.9933333
1,0,1,0,1,0,0,0,0,0,242.1566667
1,0,1,0,1,0,0,0,1,0,232.33
1,0,1,0,1,0,0,1,0,0,238.2466667
1,0,1,0,1,0,0,1,1,0,235.3466667
1,0,1,0,1,1,0,0,0,0,240.2333333
1,0,1,0,1,1,0,1,0,0,234.6533333
1,0,1,0,1,1,0,0,1,0,237.8666667
1,0,1,0,1,1,0,1,1,0,240.9866667
1,0,1,0,1,0,1,0,0,0,242.5466667
0,0,0,1,1,0,0,0,0,0,205.9466667
1,0,1,0,1,0,1,0,1,0,232.9566667
1,0,1,0,1,1,1,0,0,0,237.69
1,0,1,0,1,1,1,0,1,0,235.5333333
1,0,1,0,1,0,1,1,0,0,240.05
1,0,1,0,1,1,1,1,0,0,237.0366667
1,0,1,0,1,0,1,1,1,0,239.32
1,0,1,0,1,1,1,1,1,0,241.57
1,1,1,0,0,0,0,0,0,0,244.03
1,1,1,0,0,0,0,0,1,0,244.91
1,1,1,0,0,0,0,1,0,0,251.58
0,0,0,1,1,0,0,0,1,0,200.9233333
1,1,1,0,0,0,0,1,1,0,247.5033333
1,1,1,0,0,0,1,0,0,0,253.0533333
1,1,1,0,0,0,1,1,0,0,245.3166667
1,1,1,0,0,0,1,0,1,0,248.97
1,1,1,0,0,0,1,1,1,0,250.62
1,1,1,0,1,0,0,0,0,0,253.9633333
1,1,1,0,1,0,0,0,1,0,246.94
1,1,1,0,1,0,1,0,0,0,253.2566667
1,1,1,0,1,0,1,0,1,0,247.2666667
1,1,1,0,1,0,0,1,0,0,252.14
0,0,0,1,1,0,1,0,0,0,202.9366667
1,1,1,0,1,0,1,1,0,0,249.5666667
1,1,1,0,1,0,0,1,1,0,250.68
1,1,1,0,1,0,1,1,1,0,254.2566667
1,1,1,0,0,1,0,0,0,0,255.4733333
1,1,1,0,0,1,0,0,1,0,247.0766667
1,1,1,0,0,1,0,1,0,0,253.6366667
1,1,1,0,0,1,0,1,1,0,249.81
1,1,1,0,1,1,0,0,0,0,255.0233333
1,1,1,0,1,1,0,1,0,0,249.1166667
1,1,1,0,1,1,0,0,1,0,251.5166667
0,0,0,1,1,0,1,0,1,0,201.9733333
1,1,1,0,1,1,0,1,1,0,255.47
1,1,1,0,0,1,1,0,0,0,256.4533333
1,1,1,0,0,1,1,0,1,0,247.7166667
1,1,1,0,1,1,1,0,0,0,252.6833333
1,1,1,0,1,1,1,0,1,0,249.3433333
1,1,1,0,0,1,1,1,0,0,254.1433333
1,1,1,0,1,1,1,1,0,0,251
1,1,1,0,0,1,1,1,1,0,252.58
1,1,1,0,1,1,1,1,1,0,256.1833333
1,0,1,1,0,0,0,0,0,0,257.5133333
0,0,0,1,1,0,0,1,0,0,203.9333333
1,0,1,1,0,0,0,0,1,0,231.33
1,0,1,1,0,0,0,1,0,0,237.4966667
1,0,1,1,0,0,0,1,1,0,234.55
1,0,1,1,0,0,1,0,0,0,239.5633333
1,0,1,1,0,0,1,1,0,0,231.9133333
1,0,1,1,0,0,1,0,1,0,235.9733333
1,0,1,1,0,0,1,1,1,0,236.84
1,0,1,1,0,1,0,0,0,0,240.8266667
1,0,1,1,0,1,0,0,1,0,234.25
1,0,1,1,0,1,1,0,0,0,240.6233333
0,0,0,1,1,0,1,1,0,0,204.2933333
1,0,1,1,0,1,1,0,1,0,235.03
1,0,1,1,0,1,0,1,0,0,239.79
1,0,1,1,0,1,1,1,0,0,237.5233333
1,0,1,1,0,1,0,1,1,0,239.06
1,0,1,1,0,1,1,1,1,0,242.5
1,1,1,1,0,0,0,0,0,0,243.7833333
1,1,1,1,0,0,0,0,1,0,246.7333333
1,1,1,1,0,0,0,1,0,0,253.1533333
1,1,1,1,0,0,0,1,1,0,249.3866667
1,1,1,1,0,1,0,0,0,0,254.3366667
0,0,0,1,1,0,0,1,1,0,205.47
1,1,1,1,0,1,0,1,0,0,248.8933333
1,1,1,1,0,1,0,0,1,0,251.41
1,1,1,1,0,1,0,1,1,0,255.39
1,1,1,1,0,0,1,0,0,0,256.4733333
1,1,1,1,0,0,1,0,1,0,247.08
1,1,1,1,0,1,1,0,0,0,252.06
1,1,1,1,0,1,1,0,1,0,249.28
1,1,1,1,0,0,1,1,0,0,254.13
1,1,1,1,0,1,1,1,0,0,250.4933333
1,1,1,1,0,0,1,1,1,0,252.5133333
0,0,0,1,1,0,1,1,1,0,206.2266667
1,1,1,1,0,1,1,1,1,0,255.3633333
1,0,1,1,1,0,0,0,0,0,257.54
1,0,1,1,1,0,0,0,1,0,233.7433333
1,0,1,1,1,0,0,1,0,0,240.0733333
1,0,1,1,1,0,0,1,1,0,236.95
1,0,1,1,1,0,1,0,0,0,241.8966667
1,0,1,1,1,0,1,1,0,0,234.3366667
1,0,1,1,1,0,1,0,1,0,238.46
1,0,1,1,1,0,1,1,1,0,239.2433333
1,1,1,1,1,0,0,0,0,0,243.2833333
0,0,0,1,0,1,0,0,0,0,207.2333333
1,1,1,1,1,0,0,0,1,0,248.5366667
1,1,1,1,1,0,1,0,0,0,254.89
1,1,1,1,1,0,1,0,1,0,248.81
1,1,1,1,1,0,0,1,0,0,253.6533333
1,1,1,1,1,0,1,1,0,0,251.0133333
1,1,1,1,1,0,0,1,1,0,252.14
1,1,1,1,1,0,1,1,1,0,255.8733333
1,0,1,1,1,1,0,0,0,0,256.97
1,0,1,1,1,1,0,0,1,0,236.2266667
1,0,1,1,1,1,0,1,0,0,242.4566667
0,0,0,0,0,0,1,0,0,0,204.0533333
0,0,0,1,0,1,0,0,1,0,201.7033333
1,0,1,1,1,1,0,1,1,0,239.51
1,1,1,1,1,1,0,0,0,0,244.2533333
1,1,1,1,1,1,0,1,0,0,250.7266667
1,1,1,1,1,1,0,0,1,0,253.1
1,1,1,1,1,1,0,1,1,0,257.17
1,0,1,1,1,1,1,0,0,0,258.05
1,0,1,1,1,1,1,0,1,0,236.8933333
1,1,1,1,1,1,1,0,0,0,241.6933333
1,1,1,1,1,1,1,0,1,0,250.8633333
1,0,1,1,1,1,1,1,0,0,255.6233333
0,0,0,1,0,1,0,1,0,0,203.56
1,1,1,1,1,1,1,1,0,0,240.5433333
1,0,1,1,1,1,1,1,1,0,254.2433333
1,1,1,1,1,1,1,1,1,0,245.3433333
0,0,0,0,0,0,0,0,0,1,258.8266667
0,0,0,0,0,0,0,0,1,1,212.4466667
0,0,0,0,0,0,0,1,0,1,213.2666667
0,0,0,0,0,0,0,1,1,1,215.6066667
0,0,0,0,0,0,1,0,0,1,216.6366667
0,0,0,0,0,0,1,1,0,1,213.5333333
0,0,0,0,0,0,1,0,1,1,216.5866667
0,0,0,1,0,1,0,1,1,0,205.0866667
0,0,0,0,0,0,1,1,1,1,214.3266667
0,0,0,0,0,1,0,0,0,1,217.3966667
0,0,0,0,0,1,0,0,1,1,214.37
0,0,0,0,0,1,1,0,0,1,215.13
0,0,0,0,0,1,1,0,1,1,215.2933333
0,0,0,0,0,1,0,1,0,1,216.2233333
0,0,0,0,0,1,1,1,0,1,217.55
0,0,0,0,0,1,0,1,1,1,218.4333333
0,0,0,0,0,1,1,1,1,1,218.4033333
0,0,0,0,1,0,0,0,0,1,219.4966667
0,0,0,1,1,1,0,0,0,0,206.6166667
0,0,0,0,1,0,0,0,1,1,213.48
0,0,0,0,1,0,0,1,0,1,214.2833333
0,0,0,0,1,0,0,1,1,1,216.7166667
0,0,0,0,1,1,0,0,0,1,217.68
