no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref_1,ref_5,ref_9,PERF
0,0,0,0,0,0,0,1,0,0,1,0,0,268.72
0,0,1,0,0,0,0,1,0,0,1,0,0,268.017
0,0,0,1,0,0,0,1,0,0,1,0,0,276.103
0,0,1,1,0,0,0,1,0,0,1,0,0,275.427
0,1,0,0,0,0,0,1,0,0,1,0,0,260.267
0,1,0,1,0,0,0,1,0,0,1,0,0,266.483
0,1,1,0,0,0,0,1,0,0,1,0,0,259.807
0,1,1,1,0,0,0,1,0,0,1,0,0,266.19
0,0,0,0,0,0,1,1,0,0,1,0,0,268.557
0,0,1,0,0,0,1,1,0,0,1,0,0,267.853
0,1,0,0,0,0,1,1,0,0,1,0,0,260.41
0,1,1,0,0,0,1,1,0,0,1,0,0,259.903
0,0,0,1,0,0,1,1,0,0,1,0,0,275.92
0,1,0,1,0,0,1,1,0,0,1,0,0,266.527
0,0,1,1,0,0,1,1,0,0,1,0,0,275.373
0,1,1,1,0,0,1,1,0,0,1,0,0,266.113
0,0,0,0,0,1,0,1,0,0,1,0,0,268.773
0,0,1,0,0,1,0,1,0,0,1,0,0,268.17
0,0,0,1,0,1,0,1,0,0,1,0,0,276.03
0,0,1,1,0,1,0,1,0,0,1,0,0,275.69
0,0,0,0,0,1,1,1,0,0,1,0,0,268.603
0,0,0,1,0,1,1,1,0,0,1,0,0,275.957
0,0,1,0,0,1,1,1,0,0,1,0,0,268.11
0,0,1,1,0,1,1,1,0,0,1,0,0,275.31
0,1,0,0,0,1,0,1,0,0,1,0,0,260.48
0,1,1,0,0,1,0,1,0,0,1,0,0,259.963
0,1,0,0,0,1,1,1,0,0,1,0,0,260.38
0,1,1,0,0,1,1,1,0,0,1,0,0,259.84
0,1,0,1,0,1,0,1,0,0,1,0,0,266.67
0,1,0,1,0,1,1,1,0,0,1,0,0,266.51
0,1,1,1,0,1,0,1,0,0,1,0,0,266.22
0,1,1,1,0,1,1,1,0,0,1,0,0,266.273
0,0,0,0,1,0,0,1,0,0,1,0,0,305.4
0,0,1,0,1,0,0,1,0,0,1,0,0,304.9
0,0,0,1,1,0,0,1,0,0,1,0,0,310.58
0,0,1,1,1,0,0,1,0,0,1,0,0,310.177
0,1,0,0,1,0,0,1,0,0,1,0,0,295.47
0,1,0,1,1,0,0,1,0,0,1,0,0,299.66
0,1,1,0,1,0,0,1,0,0,1,0,0,295.367
0,1,1,1,1,0,0,1,0,0,1,0,0,299.637
0,0,0,0,1,1,0,1,0,0,1,0,0,305.26
0,0,1,0,1,1,0,1,0,0,1,0,0,304.967
0,1,0,0,1,1,0,1,0,0,1,0,0,295.507
0,1,1,0,1,1,0,1,0,0,1,0,0,295.257
0,0,0,1,1,1,0,1,0,0,1,0,0,310.52
0,1,0,1,1,1,0,1,0,0,1,0,0,299.77
0,0,1,1,1,1,0,1,0,0,1,0,0,310.153
0,1,1,1,1,1,0,1,0,0,1,0,0,299.637
0,0,0,0,1,0,1,1,0,0,1,0,0,305.283
0,0,1,0,1,0,1,1,0,0,1,0,0,304.997
0,0,0,1,1,0,1,1,0,0,1,0,0,310.577
0,0,1,1,1,0,1,1,0,0,1,0,0,310.217
0,0,0,0,1,1,1,1,0,0,1,0,0,305.48
0,0,0,1,1,1,1,1,0,0,1,0,0,310.793
0,0,1,0,1,1,1,1,0,0,1,0,0,304.94
0,0,1,1,1,1,1,1,0,0,1,0,0,310.29
0,1,0,0,1,0,1,1,0,0,1,0,0,295.59
0,1,1,0,1,0,1,1,0,0,1,0,0,295.333
0,1,0,0,1,1,1,1,0,0,1,0,0,295.527
0,1,1,0,1,1,1,1,0,0,1,0,0,295.41
0,1,0,1,1,0,1,1,0,0,1,0,0,299.69
0,1,0,1,1,1,1,1,0,0,1,0,0,299.843
0,1,1,1,1,0,1,1,0,0,1,0,0,299.647
0,1,1,1,1,1,1,1,0,0,1,0,0,299.703
1,0,0,0,0,0,0,1,0,0,1,0,0,254.587
1,0,1,0,0,0,0,1,0,0,1,0,0,254.177
1,0,0,1,0,0,0,1,0,0,1,0,0,261.077
1,0,1,1,0,0,0,1,0,0,1,0,0,260.497
1,1,0,0,0,0,0,1,0,0,1,0,0,244.39
1,1,0,1,0,0,0,1,0,0,1,0,0,249.497
1,1,1,0,0,0,0,1,0,0,1,0,0,244.23
1,1,1,1,0,0,0,1,0,0,1,0,0,249.363
1,0,0,0,0,0,1,1,0,0,1,0,0,254.733
1,0,1,0,0,0,1,1,0,0,1,0,0,254.033
1,1,0,0,0,0,1,1,0,0,1,0,0,244.303
1,1,1,0,0,0,1,1,0,0,1,0,0,244.353
1,0,0,1,0,0,1,1,0,0,1,0,0,261.31
1,1,0,1,0,0,1,1,0,0,1,0,0,249.64
1,0,1,1,0,0,1,1,0,0,1,0,0,260.617
1,1,1,1,0,0,1,1,0,0,1,0,0,249.463
1,0,0,0,1,0,0,1,0,0,1,0,0,287.01
1,0,1,0,1,0,0,1,0,0,1,0,0,286.287
1,0,0,1,1,0,0,1,0,0,1,0,0,291.633
1,0,1,1,1,0,0,1,0,0,1,0,0,291.01
1,0,0,0,1,0,1,1,0,0,1,0,0,287.06
1,0,0,1,1,0,1,1,0,0,1,0,0,291.62
1,0,1,0,1,0,1,1,0,0,1,0,0,286.397
1,0,1,1,1,0,1,1,0,0,1,0,0,291.15
1,1,0,0,1,0,0,1,0,0,1,0,0,275.923
1,1,1,0,1,0,0,1,0,0,1,0,0,275.387
1,1,0,0,1,0,1,1,0,0,1,0,0,275.927
1,1,1,0,1,0,1,1,0,0,1,0,0,275.433
1,1,0,1,1,0,0,1,0,0,1,0,0,279.79
1,1,0,1,1,0,1,1,0,0,1,0,0,279.777
1,1,1,1,1,0,0,1,0,0,1,0,0,279.15
1,1,1,1,1,0,1,1,0,0,1,0,0,279.15
1,0,0,0,0,1,0,1,0,0,1,0,0,254.82
1,0,1,0,0,1,0,1,0,0,1,0,0,254.11
1,0,0,1,0,1,0,1,0,0,1,0,0,261.203
1,0,1,1,0,1,0,1,0,0,1,0,0,260.637
1,1,0,0,0,1,0,1,0,0,1,0,0,244.433
1,1,0,1,0,1,0,1,0,0,1,0,0,249.73
1,1,1,0,0,1,0,1,0,0,1,0,0,244.277
1,1,1,1,0,1,0,1,0,0,1,0,0,249.44
1,0,0,0,1,1,0,1,0,0,1,0,0,287.087
1,0,1,0,1,1,0,1,0,0,1,0,0,286.43
1,1,0,0,1,1,0,1,0,0,1,0,0,275.993
1,1,1,0,1,1,0,1,0,0,1,0,0,275.417
1,0,0,1,1,1,0,1,0,0,1,0,0,291.66
1,1,0,1,1,1,0,1,0,0,1,0,0,279.753
1,0,1,1,1,1,0,1,0,0,1,0,0,291.043
1,1,1,1,1,1,0,1,0,0,1,0,0,279.153
1,0,0,0,0,1,1,1,0,0,1,0,0,254.707
1,0,1,0,0,1,1,1,0,0,1,0,0,254.013
1,0,0,1,0,1,1,1,0,0,1,0,0,261.207
1,0,1,1,0,1,1,1,0,0,1,0,0,260.55
1,0,0,0,1,1,1,1,0,0,1,0,0,287.087
1,0,0,1,1,1,1,1,0,0,1,0,0,291.61
1,0,1,0,1,1,1,1,0,0,1,0,0,286.44
1,0,1,1,1,1,1,1,0,0,1,0,0,290.917
1,1,0,0,0,1,1,1,0,0,1,0,0,244.333
1,1,1,0,0,1,1,1,0,0,1,0,0,244.28
1,1,0,0,1,1,1,1,0,0,1,0,0,276.027
1,1,1,0,1,1,1,1,0,0,1,0,0,275.47
1,1,0,1,0,1,1,1,0,0,1,0,0,249.607
1,1,0,1,1,1,1,1,0,0,1,0,0,279.81
1,1,1,1,0,1,1,1,0,0,1,0,0,249.41
1,1,1,1,1,1,1,1,0,0,1,0,0,279.267
0,0,0,0,0,0,0,0,1,0,1,0,0,270.657
0,0,1,0,0,0,0,0,1,0,1,0,0,270.07
0,0,0,1,0,0,0,0,1,0,1,0,0,278.197
0,0,1,1,0,0,0,0,1,0,1,0,0,277.813
0,1,0,0,0,0,0,0,1,0,1,0,0,262.563
0,1,0,1,0,0,0,0,1,0,1,0,0,268.787
0,1,1,0,0,0,0,0,1,0,1,0,0,262.233
0,1,1,1,0,0,0,0,1,0,1,0,0,268.397
0,0,0,0,0,0,1,0,1,0,1,0,0,270.707
0,0,1,0,0,0,1,0,1,0,1,0,0,270.153
0,1,0,0,0,0,1,0,1,0,1,0,0,262.567
0,1,1,0,0,0,1,0,1,0,1,0,0,262.29
0,0,0,1,0,0,1,0,1,0,1,0,0,278.12
0,1,0,1,0,0,1,0,1,0,1,0,0,268.873
0,0,1,1,0,0,1,0,1,0,1,0,0,277.533
0,1,1,1,0,0,1,0,1,0,1,0,0,268.207
0,0,0,0,0,1,0,0,1,0,1,0,0,270.66
0,0,1,0,0,1,0,0,1,0,1,0,0,270.137
0,0,0,1,0,1,0,0,1,0,1,0,0,278.227
0,0,1,1,0,1,0,0,1,0,1,0,0,277.853
0,0,0,0,0,1,1,0,1,0,1,0,0,270.727
0,0,0,1,0,1,1,0,1,0,1,0,0,278.077
0,0,1,0,0,1,1,0,1,0,1,0,0,270.013
0,0,1,1,0,1,1,0,1,0,1,0,0,277.563
0,1,0,0,0,1,0,0,1,0,1,0,0,262.653
0,1,1,0,0,1,0,0,1,0,1,0,0,262.17
0,1,0,0,0,1,1,0,1,0,1,0,0,262.53
0,1,1,0,0,1,1,0,1,0,1,0,0,262.277
0,1,0,1,0,1,0,0,1,0,1,0,0,268.763
0,1,0,1,0,1,1,0,1,0,1,0,0,268.883
0,1,1,1,0,1,0,0,1,0,1,0,0,268.397
0,1,1,1,0,1,1,0,1,0,1,0,0,268.263
1,0,0,0,0,0,0,0,1,0,1,0,0,256.727
1,0,1,0,0,0,0,0,1,0,1,0,0,256.333
1,0,0,1,0,0,0,0,1,0,1,0,0,263.437
1,0,1,1,0,0,0,0,1,0,1,0,0,262.793
1,1,0,0,0,0,0,0,1,0,1,0,0,246.487
1,1,0,1,0,0,0,0,1,0,1,0,0,251.87
1,1,1,0,0,0,0,0,1,0,1,0,0,246.4
1,1,1,1,0,0,0,0,1,0,1,0,0,251.573
1,0,0,0,0,1,0,0,1,0,1,0,0,256.82
1,0,1,0,0,1,0,0,1,0,1,0,0,256.34
1,1,0,0,0,1,0,0,1,0,1,0,0,246.543
1,1,1,0,0,1,0,0,1,0,1,0,0,246.273
1,0,0,1,0,1,0,0,1,0,1,0,0,263.207
1,1,0,1,0,1,0,0,1,0,1,0,0,251.823
1,0,1,1,0,1,0,0,1,0,1,0,0,262.643
1,1,1,1,0,1,0,0,1,0,1,0,0,251.587
1,0,0,0,0,0,1,0,1,0,1,0,0,256.667
1,0,1,0,0,0,1,0,1,0,1,0,0,256.273
1,0,0,1,0,0,1,0,1,0,1,0,0,263.253
1,0,1,1,0,0,1,0,1,0,1,0,0,262.61
1,0,0,0,0,1,1,0,1,0,1,0,0,256.72
1,0,0,1,0,1,1,0,1,0,1,0,0,263.073
1,0,1,0,0,1,1,0,1,0,1,0,0,256.32
1,0,1,1,0,1,1,0,1,0,1,0,0,262.51
1,1,0,0,0,0,1,0,1,0,1,0,0,246.41
1,1,1,0,0,0,1,0,1,0,1,0,0,246.2
1,1,0,0,0,1,1,0,1,0,1,0,0,246.58
1,1,1,0,0,1,1,0,1,0,1,0,0,246.237
1,1,0,1,0,0,1,0,1,0,1,0,0,251.787
1,1,0,1,0,1,1,0,1,0,1,0,0,251.86
1,1,1,1,0,0,1,0,1,0,1,0,0,251.53
1,1,1,1,0,1,1,0,1,0,1,0,0,251.637
0,0,0,0,1,0,0,0,1,0,1,0,0,305.457
0,0,1,0,1,0,0,0,1,0,1,0,0,305.173
0,0,0,1,1,0,0,0,1,0,1,0,0,310.697
0,0,1,1,1,0,0,0,1,0,1,0,0,310.287
0,1,0,0,1,0,0,0,1,0,1,0,0,295.49
0,1,0,1,1,0,0,0,1,0,1,0,0,299.813
0,1,1,0,1,0,0,0,1,0,1,0,0,295.427
0,1,1,1,1,0,0,0,1,0,1,0,0,299.707
0,0,0,0,1,0,1,0,1,0,1,0,0,305.443
0,0,1,0,1,0,1,0,1,0,1,0,0,305.04
0,1,0,0,1,0,1,0,1,0,1,0,0,295.61
0,1,1,0,1,0,1,0,1,0,1,0,0,295.503
0,0,0,1,1,0,1,0,1,0,1,0,0,310.777
0,1,0,1,1,0,1,0,1,0,1,0,0,299.907
0,0,1,1,1,0,1,0,1,0,1,0,0,310.317
0,1,1,1,1,0,1,0,1,0,1,0,0,299.627
1,0,0,0,1,0,0,0,1,0,1,0,0,287.05
1,0,1,0,1,0,0,0,1,0,1,0,0,286.427
1,0,0,1,1,0,0,0,1,0,1,0,0,291.59
1,0,1,1,1,0,0,0,1,0,1,0,0,291.067
1,0,0,0,1,0,1,0,1,0,1,0,0,287.107
1,0,0,1,1,0,1,0,1,0,1,0,0,291.577
1,0,1,0,1,0,1,0,1,0,1,0,0,286.4
1,0,1,1,1,0,1,0,1,0,1,0,0,291.2
1,1,0,0,1,0,0,0,1,0,1,0,0,276.01
1,1,1,0,1,0,0,0,1,0,1,0,0,275.56
1,1,0,0,1,0,1,0,1,0,1,0,0,275.973
1,1,1,0,1,0,1,0,1,0,1,0,0,275.453
1,1,0,1,1,0,0,0,1,0,1,0,0,279.753
1,1,0,1,1,0,1,0,1,0,1,0,0,279.89
1,1,1,1,1,0,0,0,1,0,1,0,0,279.247
1,1,1,1,1,0,1,0,1,0,1,0,0,279.157
0,0,0,0,1,1,0,0,1,0,1,0,0,305.503
0,0,1,0,1,1,0,0,1,0,1,0,0,305.03
0,0,0,1,1,1,0,0,1,0,1,0,0,310.697
0,0,1,1,1,1,0,0,1,0,1,0,0,310.25
0,1,0,0,1,1,0,0,1,0,1,0,0,295.68
0,1,0,1,1,1,0,0,1,0,1,0,0,299.75
0,1,1,0,1,1,0,0,1,0,1,0,0,295.36
0,1,1,1,1,1,0,0,1,0,1,0,0,299.69
1,0,0,0,1,1,0,0,1,0,1,0,0,287.21
1,0,1,0,1,1,0,0,1,0,1,0,0,286.28
1,1,0,0,1,1,0,0,1,0,1,0,0,275.897
1,1,1,0,1,1,0,0,1,0,1,0,0,275.523
1,0,0,1,1,1,0,0,1,0,1,0,0,291.673
1,1,0,1,1,1,0,0,1,0,1,0,0,279.74
1,0,1,1,1,1,0,0,1,0,1,0,0,291.173
1,1,1,1,1,1,0,0,1,0,1,0,0,279.26
0,0,0,0,1,1,1,0,1,0,1,0,0,305.433
0,0,1,0,1,1,1,0,1,0,1,0,0,305
0,0,0,1,1,1,1,0,1,0,1,0,0,310.753
0,0,1,1,1,1,1,0,1,0,1,0,0,310.283
1,0,0,0,1,1,1,0,1,0,1,0,0,287.037
1,0,0,1,1,1,1,0,1,0,1,0,0,291.603
1,0,1,0,1,1,1,0,1,0,1,0,0,286.337
1,0,1,1,1,1,1,0,1,0,1,0,0,291.21
0,1,0,0,1,1,1,0,1,0,1,0,0,295.58
0,1,1,0,1,1,1,0,1,0,1,0,0,295.447
1,1,0,0,1,1,1,0,1,0,1,0,0,276.01
1,1,1,0,1,1,1,0,1,0,1,0,0,275.407
0,1,0,1,1,1,1,0,1,0,1,0,0,299.84
1,1,0,1,1,1,1,0,1,0,1,0,0,279.903
0,1,1,1,1,1,1,0,1,0,1,0,0,299.733
1,1,1,1,1,1,1,0,1,0,1,0,0,279.193
0,0,0,0,0,0,0,0,0,1,1,0,0,271.967
0,0,0,1,0,0,0,0,0,1,1,0,0,279.357
0,1,0,0,0,0,0,0,0,1,1,0,0,263.823
0,1,0,1,0,0,0,0,0,1,1,0,0,269.917
0,0,0,0,0,0,1,0,0,1,1,0,0,272.003
0,1,0,0,0,0,1,0,0,1,1,0,0,263.643
0,0,0,1,0,0,1,0,0,1,1,0,0,279.333
0,1,0,1,0,0,1,0,0,1,1,0,0,269.95
0,0,0,0,0,1,0,0,0,1,1,0,0,272.13
0,0,0,1,0,1,0,0,0,1,1,0,0,279.533
0,0,0,0,0,1,1,0,0,1,1,0,0,272.053
0,0,0,1,0,1,1,0,0,1,1,0,0,279.303
0,1,0,0,0,1,0,0,0,1,1,0,0,263.887
0,1,0,0,0,1,1,0,0,1,1,0,0,263.753
0,1,0,1,0,1,0,0,0,1,1,0,0,270.09
0,1,0,1,0,1,1,0,0,1,1,0,0,270.063
0,0,0,0,1,0,0,0,0,1,1,0,0,305.383
0,0,0,1,1,0,0,0,0,1,1,0,0,310.607
0,1,0,0,1,0,0,0,0,1,1,0,0,295.577
0,1,0,1,1,0,0,0,0,1,1,0,0,299.867
0,0,0,0,1,1,0,0,0,1,1,0,0,305.35
0,1,0,0,1,1,0,0,0,1,1,0,0,295.62
0,0,0,1,1,1,0,0,0,1,1,0,0,310.673
0,1,0,1,1,1,0,0,0,1,1,0,0,299.89
0,0,0,0,1,0,1,0,0,1,1,0,0,305.5
0,0,0,1,1,0,1,0,0,1,1,0,0,310.687
0,0,0,0,1,1,1,0,0,1,1,0,0,305.433
0,0,0,1,1,1,1,0,0,1,1,0,0,310.673
0,1,0,0,1,0,1,0,0,1,1,0,0,295.607
0,1,0,0,1,1,1,0,0,1,1,0,0,295.683
0,1,0,1,1,0,1,0,0,1,1,0,0,299.85
0,1,0,1,1,1,1,0,0,1,1,0,0,299.96
0,0,1,0,0,0,0,0,0,1,1,0,0,271.337
0,0,1,1,0,0,0,0,0,1,1,0,0,279.037
0,1,1,0,0,0,0,0,0,1,1,0,0,263.367
0,1,1,1,0,0,0,0,0,1,1,0,0,269.733
0,0,1,0,0,0,1,0,0,1,1,0,0,271.38
0,1,1,0,0,0,1,0,0,1,1,0,0,263.363
0,0,1,1,0,0,1,0,0,1,1,0,0,279.083
0,1,1,1,0,0,1,0,0,1,1,0,0,269.523
0,0,1,0,1,0,0,0,0,1,1,0,0,304.96
0,0,1,1,1,0,0,0,0,1,1,0,0,310.227
0,0,1,0,1,0,1,0,0,1,1,0,0,305.147
0,0,1,1,1,0,1,0,0,1,1,0,0,310.327
0,1,1,0,1,0,0,0,0,1,1,0,0,295.353
0,1,1,0,1,0,1,0,0,1,1,0,0,295.423
0,1,1,1,1,0,0,0,0,1,1,0,0,299.813
0,1,1,1,1,0,1,0,0,1,1,0,0,299.797
0,0,1,0,0,1,0,0,0,1,1,0,0,271.417
0,0,1,1,0,1,0,0,0,1,1,0,0,279.097
0,1,1,0,0,1,0,0,0,1,1,0,0,263.403
0,1,1,1,0,1,0,0,0,1,1,0,0,269.583
0,0,1,0,1,1,0,0,0,1,1,0,0,305.027
0,1,1,0,1,1,0,0,0,1,1,0,0,295.413
0,0,1,1,1,1,0,0,0,1,1,0,0,310.263
0,1,1,1,1,1,0,0,0,1,1,0,0,299.677
0,0,1,0,0,1,1,0,0,1,1,0,0,271.403
0,0,1,1,0,1,1,0,0,1,1,0,0,279.013
0,0,1,0,1,1,1,0,0,1,1,0,0,305.103
0,0,1,1,1,1,1,0,0,1,1,0,0,310.253
0,1,1,0,0,1,1,0,0,1,1,0,0,263.373
0,1,1,0,1,1,1,0,0,1,1,0,0,295.41
0,1,1,1,0,1,1,0,0,1,1,0,0,269.493
0,1,1,1,1,1,1,0,0,1,1,0,0,299.677
1,0,0,0,0,0,0,0,0,1,1,0,0,257.973
1,0,0,1,0,0,0,0,0,1,1,0,0,264.293
1,1,0,0,0,0,0,0,0,1,1,0,0,247.73
1,1,0,1,0,0,0,0,0,1,1,0,0,252.963
1,0,0,0,0,0,1,0,0,1,1,0,0,257.927
1,1,0,0,0,0,1,0,0,1,1,0,0,247.507
1,0,0,1,0,0,1,0,0,1,1,0,0,264.287
1,1,0,1,0,0,1,0,0,1,1,0,0,253.01
1,0,0,0,0,1,0,0,0,1,1,0,0,258.113
1,0,0,1,0,1,0,0,0,1,1,0,0,264.38
1,0,0,0,0,1,1,0,0,1,1,0,0,257.877
1,0,0,1,0,1,1,0,0,1,1,0,0,264.33
1,1,0,0,0,1,0,0,0,1,1,0,0,247.717
1,1,0,0,0,1,1,0,0,1,1,0,0,247.693
1,1,0,1,0,1,0,0,0,1,1,0,0,253.127
1,1,0,1,0,1,1,0,0,1,1,0,0,253.08
1,0,1,0,0,0,0,0,0,1,1,0,0,257.463
1,0,1,1,0,0,0,0,0,1,1,0,0,263.91
1,1,1,0,0,0,0,0,0,1,1,0,0,247.483
1,1,1,1,0,0,0,0,0,1,1,0,0,252.827
1,0,1,0,0,1,0,0,0,1,1,0,0,257.407
1,1,1,0,0,1,0,0,0,1,1,0,0,247.667
1,0,1,1,0,1,0,0,0,1,1,0,0,263.847
1,1,1,1,0,1,0,0,0,1,1,0,0,252.78
1,0,1,0,0,0,1,0,0,1,1,0,0,257.45
1,0,1,1,0,0,1,0,0,1,1,0,0,263.853
1,0,1,0,0,1,1,0,0,1,1,0,0,257.53
1,0,1,1,0,1,1,0,0,1,1,0,0,263.92
1,1,1,0,0,0,1,0,0,1,1,0,0,247.517
1,1,1,0,0,1,1,0,0,1,1,0,0,247.537
1,1,1,1,0,0,1,0,0,1,1,0,0,252.737
1,1,1,1,0,1,1,0,0,1,1,0,0,252.63
1,0,0,0,1,0,0,0,0,1,1,0,0,287.113
1,0,0,1,1,0,0,0,0,1,1,0,0,291.643
1,1,0,0,1,0,0,0,0,1,1,0,0,275.97
1,1,0,1,1,0,0,0,0,1,1,0,0,279.84
1,0,0,0,1,0,1,0,0,1,1,0,0,287.107
1,1,0,0,1,0,1,0,0,1,1,0,0,275.96
1,0,0,1,1,0,1,0,0,1,1,0,0,291.53
1,1,0,1,1,0,1,0,0,1,1,0,0,279.757
1,0,1,0,1,0,0,0,0,1,1,0,0,286.353
1,0,1,1,1,0,0,0,0,1,1,0,0,291.14
1,0,1,0,1,0,1,0,0,1,1,0,0,286.327
1,0,1,1,1,0,1,0,0,1,1,0,0,291.057
1,1,1,0,1,0,0,0,0,1,1,0,0,275.453
1,1,1,0,1,0,1,0,0,1,1,0,0,275.427
1,1,1,1,1,0,0,0,0,1,1,0,0,279.223
1,1,1,1,1,0,1,0,0,1,1,0,0,279.217
1,0,0,0,1,1,0,0,0,1,1,0,0,287.053
1,0,0,1,1,1,0,0,0,1,1,0,0,291.483
1,1,0,0,1,1,0,0,0,1,1,0,0,275.987
1,1,0,1,1,1,0,0,0,1,1,0,0,279.853
1,0,1,0,1,1,0,0,0,1,1,0,0,286.47
1,1,1,0,1,1,0,0,0,1,1,0,0,275.39
1,0,1,1,1,1,0,0,0,1,1,0,0,291.277
1,1,1,1,1,1,0,0,0,1,1,0,0,279.13
1,0,0,0,1,1,1,0,0,1,1,0,0,287.063
1,0,0,1,1,1,1,0,0,1,1,0,0,291.587
1,0,1,0,1,1,1,0,0,1,1,0,0,286.457
1,0,1,1,1,1,1,0,0,1,1,0,0,291.237
